id,title,description,kind,occasion_label,film,event,location,year,date_start,date_end,subjects,people,brands,magazine_issue,orientation,orientation_confidence,orientation_samples,contains_minor,minor_risk,contains_minor_confirmed,file_count,dominant_media,duplicate_folders,url,raw_folder_name
b-roll-phil-daru-ruck-100-workout-december-2025,"Phil Daru Ruck 100 — Workout, December 2025","B-roll — 110 videos. From Phil Daru Ruck 100 shot December 7, 2025. Featuring Phil Daru.",b-roll,Workout,,Phil Daru Ruck 100,,2025,2025-12-07,2025-12-08,,Phil Daru,lolli-brands,,landscape,1,5,false,none,false,112,video,3,https://drive.google.com/drive/folders/1qIenUrBNa-57K-fn1r6g7cKrSpQ_QlN1,12/7 - 12/08 '25 Phil Daru Ruck 100 RAW Footage
magazine-love-magazine-cover,Love Magazine Cover,"Magazine production files — 8 images, 1 document.",magazine,Unspecified,,,,,,,,,biohack-yourself,,,,0,false,none,false,9,image,1,https://drive.google.com/drive/folders/1Dy-Xo8zMByS9vQAZv6UYVpi5PKjS6xCJ,Love Magazine Cover
event-photography-stage-speaking,Stage — Speaking,Event photography — 251 images.,event photography,Speaking,,,,,,,,,lolli-brands,,portrait,0.6,5,false,none,false,251,image,5,https://drive.google.com/drive/folders/1YOzx0QgnObSg_15pIo6ILQUsLXiBj8Nb,Stage Photos
poster-documentary-covers-no-awards-key-art,Documentary Covers - No Awards — Key Art,Key art — 14 images.,poster,Unspecified,,,,,,,,,lolli-brands,,landscape,0.6,5,false,none,false,14,image,1,https://drive.google.com/drive/folders/14v98CYAPBCqDmAEN5CHk5LNzbywJPEsd,All Documentary Covers - No Awards
event-photography-health-issues-for-our-family-event-photogr,Health Issues for our family — Event Photography,"Event photography — 35 images, 33 videos.",event photography,Unspecified,,,,,,,,,lolli-brands,,portrait,0.6,5,true,named,false,68,image,1,https://drive.google.com/drive/folders/15nnqMvEOefWJAkGsxX8xidmNSpeTy557,Health Issues for our family
event-photography-award-event-photography,Award — Event Photography,"Event photography — 114 images, 2 videos.",event photography,Unspecified,,,,,,,,,lolli-brands,,landscape,0.8,5,false,none,false,116,image,1,https://drive.google.com/drive/folders/15czfvY6_WoFwvNJMKXCW_HoUaVV97nRS,Award Photos
logo-biohack-yourself-logos,Biohack Yourself + Logos,"Logo and wordmark files — 2 images, 2 vector files. From Biohack Yourself.",logo,Unspecified,Biohack Yourself,,,,,,,,biohack-yourself,,,,0,false,none,false,4,image,7,https://drive.google.com/drive/folders/1SbLUxYWANgRVrwyfyY5zlIsXWvcoTd1S,Biohack Yourself + Logos
event-photography-fitness-glam-family-event-photography,"Fitness, glam, family — Event Photography",Event photography — 297 images.,event photography,Unspecified,,,,,,,,,lolli-brands,,portrait,0.6,5,true,named,false,297,image,1,https://drive.google.com/drive/folders/13kqFZkDSl-8bnc1mZz9g4jhttzizX69E,"Fitness, glam, family Photos"
event-photography-the-guru-event-photography,The Guru — Event Photography,Event photography — 11 images. From The Guru.,event photography,Unspecified,The Guru,,,,,,,,lolli-brands,,square,1,5,false,none,false,22,image,3,https://drive.google.com/drive/folders/1iMxlh2VCmI9IzM21NqyIRnoAu82Nysgx,Guru
b-roll-anthony-tereza-before-studio-shoot-b-roll,Anthony & TereZa Before Studio Shoot — B-Roll,"B-roll — 46 videos. Featuring Anthony Lolli, TereZa Hakobyan-Lolli.",b-roll,Unspecified,,,,,,,anthony; tereza,,lolli-brands,,landscape,1,5,false,context,false,46,video,1,https://drive.google.com/drive/folders/1Si00um1uIlw6qpBYLoITdK6MuMMFi-aN,Anthony & Tereza Before Studio Video Shoot
event-photography-america-s-future-mara-lago-tereza-cell-pho,"America's Future Mara Lago TereZa Cell Phone — Event Photography, December 2025","Event photography — 29 images, 26 videos. Shot December 16, 2025.",event photography,Unspecified,,,,2025,2025-12-16,,,,lolli-brands,,portrait,1,5,false,context,false,55,image,1,https://drive.google.com/drive/folders/1aeNEnUnJpGZyeon4mktWRzWOH40V_wlB,25. 12/16/2025 - America's Future Mara Lago TereZa Cell Phone
b-roll-dr-andres-anthony-infectious-disease-clinic-productio,"Dr. Andres Anthony Infectious Disease — Clinic production, May 2025","B-roll — 10 images, 32 videos. From Bye Ol' Dentistry shot May 14, 2025. Featuring Anthony Lolli, Dr. Andres Anthony.",b-roll,Clinic production,Bye Ol' Dentistry,,,2025,2025-05-14,,anthony,Dr. Andres Anthony,lolli-brands,,landscape,0.8,5,false,context,false,42,video,1,https://drive.google.com/drive/folders/1mXVE6KTw_tCR8g3buznAl4B-qg7kwNP-,3. 05/14/2025 Dr. Andres Anthony Infectious Disease
event-photography-physical-evidence-event-photography,Physical Evidence — Event Photography,"Event photography — 26 images, 23 videos.",event photography,Unspecified,,,,,,,,,lolli-brands,,portrait,1,5,false,none,false,49,image,1,https://drive.google.com/drive/folders/1jaLgZhhl3slrY6kFpu1F7fpEv2MXm_R-,Physical Evidence
logo-shealed-logo-logos,sHEALed Logo — Logos,Logo and wordmark files — 1 image. From sHEALed.,logo,Unspecified,sHEALed,,,,,,,,lolli-brands,,,,0,false,none,false,1,image,1,https://drive.google.com/drive/folders/1lI7LfWkSsBO8gPHMkIbG-9ZqSuI429k6,sHEALed Logo
b-roll-broll-for-bbc-b-roll,BRoll for BBC — B-Roll,"B-roll — 3 images, 94 videos.",b-roll,Unspecified,,,,,,,,,lolli-brands,,landscape,0.8,5,false,none,false,97,video,1,https://drive.google.com/drive/folders/1y_iSz_dUFG0NsxRIO4HNv82gDRcRgrRP,BRoll for BBC
poster-cover-story-key-art,Cover Story — Key Art,Key art — 5 images.,poster,Unspecified,,,,,,,,,lolli-brands,,,,0,false,none,false,5,image,2,https://drive.google.com/drive/folders/12f61Q_nXDg_jVPw7UUOfWEmyzbgjkDDL,Cover Story
b-roll-flip-fix-event-b-roll-january-2026,"Flip & Fix Event — B-Roll, January 2026","B-roll — 129 videos. Shot January 24, 2026.",b-roll,Unspecified,,,,2026,2026-01-24,,,,lolli-brands,,landscape,1,5,false,none,false,129,video,4,https://drive.google.com/drive/folders/1O8Aaba9Cf8JWUsOZrcGvSi4JHPIa2fQW,1/24/26 Flip & Fix Event RAW Videos
poster-documentary-covers-with-awards-key-art,Documentary Covers with Awards — Key Art,Key art — 2 images.,poster,Unspecified,,,,,,,,,lolli-brands,,,,0,false,none,false,4,image,1,https://drive.google.com/drive/folders/1RihtFBtIhc4oKgur7I48V14KrLNaXy-b,All Documentary Covers with Awards
